,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
29,19.0,93782-22038:Kirk Cousins,93782-63855:K.J. Osborn,93782-63907:Josh Oliver,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
30,19.0,93782-22038:Kirk Cousins,93782-55515:Greg Joseph,93782-63907:Josh Oliver,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
31,20.0,93782-22038:Kirk Cousins,93782-41235:Jake Elliott,93782-63907:Josh Oliver,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
32,18.0,93782-12540:Minnesota Vikings,93782-22038:Kirk Cousins,93782-63907:Josh Oliver,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,MIN,PHI,MIN,Yes,1:4
33,19.0,93782-12545:Philadelphia Eagles,93782-22038:Kirk Cousins,93782-63907:Josh Oliver,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
34,19.0,93782-22038:Kirk Cousins,93782-43433:Boston Scott,93782-55515:Greg Joseph,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,PHI,MIN,PHI,MIN,Yes,2:3
35,19.0,93782-12545:Philadelphia Eagles,93782-129210:Jordan Addison,93782-55515:Greg Joseph,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,MIN,PHI,MIN,Yes,2:3
36,18.0,93782-12540:Minnesota Vikings,93782-22038:Kirk Cousins,93782-43433:Boston Scott,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,MIN,MIN,PHI,PHI,MIN,Yes,2:3
37,20.0,93782-12545:Philadelphia Eagles,93782-129210:Jordan Addison,93782-41235:Jake Elliott,93782-72846:A.J. Brown,93782-85671:Justin Jefferson,PHI,MIN,PHI,PHI,MIN,Yes,3:2
38,17.0,93782-63855:K.J. Osborn,93782-63907:Josh Oliver,93782-69531:Jalen Hurts,93782-72776:Alexander Mattison,93782-85671:Justin Jefferson,MIN,MIN,PHI,MIN,MIN,Yes,1:4
39,16.0,93782-12540:Minnesota Vikings,93782-63907:Josh Oliver,93782-69531:Jalen Hurts,93782-72776:Alexander Mattison,93782-85671:Justin Jefferson,MIN,MIN,PHI,MIN,MIN,Yes,1:4
40,15.0,93782-43433:Boston Scott,93782-63907:Josh Oliver,93782-69531:Jalen Hurts,93782-72776:Alexander Mattison,93782-85671:Justin Jefferson,PHI,MIN,PHI,MIN,MIN,Yes,2:3
