,0,1,2,3,4,5,Team1,Team2,Team3,Team4,Team5,keep,team1_team2_count
31,21.0,93784-54140:Dalvin Cook,93784-63759:Tony Pollard,93784-69956:Michael Gallup,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,DAL,DAL,DAL,Yes,4:1
32,20.0,93784-103564:Garrett Wilson,93784-54140:Dalvin Cook,93784-69956:Michael Gallup,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
33,20.0,93784-31716:Dak Prescott,93784-54140:Dalvin Cook,93784-69956:Michael Gallup,93784-86631:CeeDee Lamb,Brandon Aubrey,DAL,NYJ,DAL,DAL,DAL,Yes,4:1
34,21.0,93784-103064:Breece Hall,93784-103564:Garrett Wilson,93784-69956:Michael Gallup,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,DAL,DAL,DAL,Yes,3:2
35,21.0,93784-103064:Breece Hall,93784-31716:Dak Prescott,93784-60451:Tyler Conklin,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,NYJ,DAL,DAL,Yes,3:2
36,20.0,93784-31716:Dak Prescott,93784-54140:Dalvin Cook,93784-60451:Tyler Conklin,93784-86631:CeeDee Lamb,Brandon Aubrey,DAL,NYJ,NYJ,DAL,DAL,Yes,3:2
37,21.0,93784-103064:Breece Hall,93784-103564:Garrett Wilson,93784-60451:Tyler Conklin,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,NYJ,NYJ,DAL,DAL,Yes,2:3
38,20.0,93784-54140:Dalvin Cook,93784-63759:Tony Pollard,93784-72297:Rico Dowdle,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,DAL,DAL,DAL,Yes,4:1
39,20.0,93784-103064:Breece Hall,93784-31716:Dak Prescott,93784-72297:Rico Dowdle,93784-86631:CeeDee Lamb,Brandon Aubrey,NYJ,DAL,DAL,DAL,DAL,Yes,4:1
40,19.0,93784-31716:Dak Prescott,93784-54140:Dalvin Cook,93784-72297:Rico Dowdle,93784-86631:CeeDee Lamb,Brandon Aubrey,DAL,NYJ,DAL,DAL,DAL,Yes,4:1
