keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,82605-72235:Damon Hazelton,82605-72235,WR,Damon,Damon Hazelton,Hazelton,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-30253:Jeff Driskel,82605-30253,QB,Jeff,Jeff Driskel,Driskel,0.75,,2,5000,PHI@HOU,HOU,PHI,,,
,82605-40365:Devon Allen,82605-40365,WR,Devon,Devon Allen,Allen,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-46644:Paul Quessenberry,82605-46644,TE,Paul,Paul Quessenberry,Quessenberry,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-60981:Charlie Heck,82605-60981,TE,Charlie,Charlie Heck,Heck,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-73147:Nick Eubanks,82605-73147,TE,Nick,Nick Eubanks,Eubanks,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-94396:Carson Strong,82605-94396,QB,Carson,Carson Strong,Strong,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-47551:Mason Schreck,82605-47551,TE,Mason,Mason Schreck,Schreck,0.800000012,,2,5000,PHI@HOU,HOU,PHI,,,
x,82605-69451:Jack Stoll,82605-69451,TE,Jack,Jack Stoll,Stoll,1.166666667,0,3,5000,PHI@HOU,PHI,HOU,,,
,82605-91085:Michael Young Jr.,82605-91085,WR,Michael,Michael Young Jr.,Young Jr.,,,,5000,PHI@HOU,HOU,PHI,,,
,82605-64339:Auden Tate,82605-64339,WR,Auden,Auden Tate,Tate,2.849999905,,4,5000,PHI@HOU,PHI,HOU,,,
,82605-109015:Keric Wheatfall,82605-109015,WR,Keric,Keric Wheatfall,Wheatfall,,,,5000,PHI@HOU,PHI,HOU,Q,Undisclosed,
,82605-84440:Jaeden Graham,82605-84440,TE,Jaeden,Jaeden Graham,Graham,,,,5000,PHI@HOU,PHI,HOU,Q,Undisclosed,
,82605-62042:Deon Cain,82605-62042,WR,Deon,Deon Cain,Cain,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-103901:Davion Davis,82605-103901,WR,Davion,Davion Davis,Davis,1.100000024,,2,5000,PHI@HOU,HOU,PHI,,,
,82605-64864:Noah Togiai,82605-64864,TE,Noah,Noah Togiai,Togiai,0,,1,5000,PHI@HOU,PHI,HOU,,,
,82605-66402:Jack Driscoll,82605-66402,TE,Jack,Jack Driscoll,Driscoll,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-93026:Teagan Quitoriano,82605-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,,,,5000,PHI@HOU,HOU,PHI,IR,Knee,
,82605-61798:Gardner Minshew II,82605-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.819999993,,1,5000,PHI@HOU,PHI,HOU,,,
,82605-53095:Kyle Allen,82605-53095,QB,Kyle,Kyle Allen,Allen,3.950000048,,2,5000,PHI@HOU,HOU,PHI,,,
,82605-152042:Drew Estrada,82605-152042,WR,Drew,Drew Estrada,Estrada,,,,5000,PHI@HOU,HOU,PHI,O,Achilles,
,82605-63851:Tyree Jackson,82605-63851,TE,Tyree,Tyree Jackson,Jackson,3.23333327,,3,5000,PHI@HOU,PHI,HOU,NA,Knee - acl,
,82605-85994:Dalton Keene,82605-85994,TE,Dalton,Dalton Keene,Keene,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-40434:Greg Ward,82605-40434,WR,Greg,Greg Ward,Ward,3.453333325,,9,5000,PHI@HOU,PHI,HOU,,,
,82605-92146:DeAndre Torrey,82605-92146,RB,DeAndre,DeAndre Torrey,Torrey,,,,5000,PHI@HOU,PHI,HOU,,,
,82605-41469:Darrell Daniels,82605-41469,TE,Darrell,Darrell Daniels,Daniels,0.34000001,,5,5000,PHI@HOU,HOU,PHI,,,
,82605-69884:Darius Anderson,82605-69884,RB,Darius,Darius Anderson,Anderson,,,,5000,PHI@HOU,HOU,PHI,IR,Knee,
