keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,93677-56715:Tristan Vizcaino,93677-56715,K,Tristan,Tristan Vizcaino,Vizcaino,10,,1,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-102928:Eric Gray,93677-102928,RB,Eric,Eric Gray,Gray,,0,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-92432:Jose Barbon,93677-92432,WR,Jose,Jose Barbon,Barbon,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-87442:Princeton Fant,93677-87442,TE,Princeton,Princeton Fant,Fant,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-56212:Tommy Sweeney,93677-56212,TE,Tommy,Tommy Sweeney,Sweeney,1.200000048,,1,5000,DAL@NYG,NYG,DAL,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,93677-86678:Ryan Jones,93677-86678,TE,Ryan,Ryan Jones,Jones,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-91417:Luke Schoonmaker,93677-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,,0,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-94748:Tommy DeVito,93677-94748,QB,Tommy,Tommy DeVito,DeVito,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-86047:Malik Davis,93677-86047,RB,Malik,Malik Davis,Davis,5.23333327,,6,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-63646:Lawrence Cager,93677-63646,TE,Lawrence,Lawrence Cager,Cager,3.412499905,0,8,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-93600:Bryce Ford-Wheaton,93677-93600,WR,Bryce,Bryce Ford-Wheaton,Ford-Wheaton,,,,5000,DAL@NYG,NYG,DAL,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
,93677-60705:Tyron Billy-Johnson,93677-60705,WR,Tyron,Tyron Billy-Johnson,Billy-Johnson,0.649999976,,2,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-29985:Jaydon Mickens,93677-29985,WR,Jaydon,Jaydon Mickens,Mickens,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-14377:Tyrod Taylor,93677-14377,QB,Tyrod,Tyrod Taylor,Taylor,6.159999847,,2,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-44715:Cooper Rush,93677-44715,QB,Cooper,Cooper Rush,Rush,7.454999924,,8,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-88109:Gary Brightwell,93677-88109,RB,Gary,Gary Brightwell,Brightwell,1.617647059,0,17,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-55983:Adoree' Jackson,93677-55983,WR,Adoree',Adoree' Jackson,Jackson,0,,2,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-102721:Dontario Drummond,93677-102721,WR,Dontario,Dontario Drummond,Drummond,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-149696:Trey Lance,93677-149696,QB,Trey,Trey Lance,Lance,6.730000019,,2,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-54472:Cam Sims,93677-54472,WR,Cam,Cam Sims,Sims,1.074999968,,12,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-69836:Collin Johnson,93677-69836,WR,Collin,Collin Johnson,Johnson,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-54863:C.J. Goodwin,93677-54863,WR,C.J.,C.J. Goodwin,Goodwin,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-109008:Jalen Cropper,93677-109008,WR,Jalen,Jalen Cropper,Cropper,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-64350:Jeff Smith,93677-64350,WR,Jeff,Jeff Smith,Smith,2.485714231,,7,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-170214:Dennis Houston,93677-170214,WR,Dennis,Dennis Houston,Houston,1.299999952,,2,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-68708:Seth Green,93677-68708,TE,Seth,Seth Green,Green,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-87654:Noah Igbinoghene,93677-87654,WR,Noah,Noah Igbinoghene,Igbinoghene,,,,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-63591:Ronald Jones II,93677-63591,RB,Ronald,Ronald Jones II,Jones II,2.616666635,,6,5000,DAL@NYG,DAL,NYG,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
,93677-63851:Tyree Jackson,93677-63851,TE,Tyree,Tyree Jackson,Jackson,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-14319:Taiwan Jones,93677-14319,RB,Taiwan,Taiwan Jones,Jones,-1,,2,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-130288:James Robinson,93677-130288,RB,James,James Robinson,Robinson,7.554545316,,11,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
x,93677-88816:Peyton Hendershot,93677-88816,TE,Peyton,Peyton Hendershot,Hendershot,3.777777778,0,9,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-56947:Chris Myarick,93677-56947,TE,Chris,Chris Myarick,Myarick,2.285714286,,7,5000,DAL@NYG,NYG,DAL,IR,Hand,,,,MVP - 1.5X Points/AnyFLEX
,93677-90487:Kalil Pimpleton,93677-90487,WR,Kalil,Kalil Pimpleton,Pimpleton,,,,5000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,93677-68730:Sean McKeon,93677-68730,TE,Sean,Sean McKeon,McKeon,1.049999952,,2,5000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
