keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,84236-31716:Dak Prescott,84236-31716,QB,Dak,Dak Prescott,Prescott,19.8,6,16000,IND@DAL,DAL,IND,,,
x,84236-89675:Jonathan Taylor,84236-89675,RB,Jonathan,Jonathan Taylor,Taylor,14.8,9,15000,IND@DAL,IND,DAL,,,
x,84236-6616:Matt Ryan,84236-6616,QB,Matt,Matt Ryan,Ryan,14.9,10,14500,IND@DAL,IND,DAL,,,
x,84236-86631:CeeDee Lamb,84236-86631,WR,CeeDee,CeeDee Lamb,Lamb,15.6,11,14000,IND@DAL,DAL,IND,,,
x,84236-63759:Tony Pollard,84236-63759,RB,Tony,Tony Pollard,Pollard,14.54545455,11,13500,IND@DAL,DAL,IND,,,
x,84236-69213:Michael Pittman Jr.,84236-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.3,11,13000,IND@DAL,IND,DAL,,,
x,84236-38791:Ezekiel Elliott,84236-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,13.2,9,12000,IND@DAL,DAL,IND,,,
x,84236-56262:Parris Campbell,84236-56262,WR,Parris,Parris Campbell,Campbell,8.6,12,11000,IND@DAL,IND,DAL,,,
x,84236-12530:Dallas Cowboys,84236-12530,D,Dallas,Dallas Cowboys,Cowboys,10.63636364,11,10000,IND@DAL,DAL,IND,,,
x,84236-27292:Brett Maher,84236-27292,K,Brett,Brett Maher,Maher,9.454545455,11,9500,IND@DAL,DAL,IND,,,
x,84236-69956:Michael Gallup,84236-69956,WR,Michael,Michael Gallup,Gallup,5.675000191,8,9000,IND@DAL,DAL,IND,Q,Illness,
x,84236-60479:Chase McLaughlin,84236-60479,K,Chase,Chase McLaughlin,McLaughlin,9.1,10,8500,IND@DAL,IND,DAL,,,
x,84236-12535:Indianapolis Colts,84236-12535,D,Indianapolis,Indianapolis Colts,Colts,5.75,12,8000,IND@DAL,IND,DAL,,,
x,84236-55042:Dalton Schultz,84236-55042,TE,Dalton,Dalton Schultz,Schultz,8.8,9,7500,IND@DAL,DAL,IND,,,
x,84236-86312:Alec Pierce,84236-86312,WR,Alec,Alec Pierce,Pierce,6.8,11,7500,IND@DAL,IND,DAL,,,
