keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,84015-89675:Jonathan Taylor,84015-89675,RB,Jonathan,Jonathan Taylor,Taylor,14.5,8,16500,PIT@IND,IND,PIT,,,
x,84015-92020:Kenny Pickett,84015-92020,QB,Kenny,Kenny Pickett,Pickett,13,7,15000,PIT@IND,PIT,IND,,,
x,84015-6616:Matt Ryan,84015-6616,QB,Matt,Matt Ryan,Ryan,14.85777791,9,14500,PIT@IND,IND,PIT,,,
x,84015-90575:Najee Harris,84015-90575,RB,Najee,Najee Harris,Harris,13.1,10,13500,PIT@IND,PIT,IND,,,
x,84015-69213:Michael Pittman Jr.,84015-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.4,10,13000,PIT@IND,IND,PIT,,,
x,84015-110246:George Pickens,84015-110246,WR,George,George Pickens,Pickens,8,10,11500,PIT@IND,PIT,IND,,,
x,84015-66008:Diontae Johnson,84015-66008,WR,Diontae,Diontae Johnson,Johnson,7.9,10,11000,PIT@IND,PIT,IND,,,
x,84015-56262:Parris Campbell,84015-56262,WR,Parris,Parris Campbell,Campbell,8.4,11,10500,PIT@IND,IND,PIT,,,
x,84015-86244:Pat Freiermuth,84015-86244,TE,Pat,Pat Freiermuth,Freiermuth,8.466666328,9,10000,PIT@IND,PIT,IND,,,
x,84015-86312:Alec Pierce,84015-86312,WR,Alec,Alec Pierce,Pierce,6.5,10,9500,PIT@IND,IND,PIT,,,
x,84015-12547:Pittsburgh Steelers,84015-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,5.3,10,9000,PIT@IND,PIT,IND,,,
x,84015-12535:Indianapolis Colts,84015-12535,D,Indianapolis,Indianapolis Colts,Colts,6,11,9000,PIT@IND,IND,PIT,,,
x,84015-60479:Chase McLaughlin,84015-60479,K,Chase,Chase McLaughlin,McLaughlin,9.333333333,9,8500,PIT@IND,IND,PIT,,,
x,84015-57330:Matthew Wright,84015-57330,K,Matthew,Matthew Wright,Wright,10.25,4,8500,PIT@IND,PIT,IND,,,
,84015-70027:Zack Moss,84015-70027,RB,Zack,Zack Moss,Moss,2.057142803,7,8000,PIT@IND,IND,PIT,,,
,84015-112057:Jaylen Warren,84015-112057,RB,Jaylen,Jaylen Warren,Warren,4.070000076,10,8000,PIT@IND,PIT,IND,O,Hamstring,
x,84015-62994:Steven Sims Jr.,84015-62994,WR,Steven,Steven Sims Jr.,Sims Jr.,0.880000019,5,7500,PIT@IND,PIT,IND,,,
x,84015-93134:Deon Jackson,84015-93134,RB,Deon,Deon Jackson,Jackson,6.8,7,7500,PIT@IND,IND,PIT,,,
,84015-64827:Miles Boykin,84015-64827,WR,Miles,Miles Boykin,Boykin,0.800000012,2,7000,PIT@IND,PIT,IND,Q,Oblique,
,84015-88277:Anthony McFarland Jr.,84015-88277,RB,Anthony,Anthony McFarland Jr.,McFarland Jr.,0.949999988,2,7000,PIT@IND,PIT,IND,,,
x,84015-104577:Gunner Olszewski,84015-104577,WR,Gunner,Gunner Olszewski,Olszewski,0.799999986,7,6500,PIT@IND,PIT,IND,,,
,84015-41426:Phillip Lindsay,84015-41426,RB,Phillip,Phillip Lindsay,Lindsay,3.933333397,3,6500,PIT@IND,IND,PIT,,,
,84015-71143:Kylen Granson,84015-71143,TE,Kylen,Kylen Granson,Granson,3.400000139,11,6500,PIT@IND,IND,PIT,D,Illness,
,84015-41867:Jordan Wilkins,84015-41867,RB,Jordan,Jordan Wilkins,Wilkins,3.299999952,2,6000,PIT@IND,IND,PIT,,,
