keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
,81393-60977:Ty'Son Williams,81393-60977,RB,Ty'Son,Ty'Son Williams,Williams,5.342857361,,7,5000,IND@DEN,IND,DEN,,
,81393-69686:Dylan Parham,81393-69686,TE,Dylan,Dylan Parham,Parham,,,,5000,IND@DEN,DEN,IND,,
,81393-45371:Darius Phillips,81393-45371,WR,Darius,Darius Phillips,Phillips,-0.363636364,,11,5000,IND@DEN,DEN,IND,Q,Hamstring
,81393-89658:Jack Coan,81393-89658,QB,Jack,Jack Coan,Coan,,,,5000,IND@DEN,IND,DEN,,
,81393-32957:Eric Tomlinson,81393-32957,TE,Eric,Eric Tomlinson,Tomlinson,0,,1,5000,IND@DEN,DEN,IND,,
,81393-104124:Darrius Shepherd,81393-104124,WR,Darrius,Darrius Shepherd,Shepherd,,,,5000,IND@DEN,DEN,IND,,
,81393-71241:Brandon Johnson,81393-71241,WR,Brandon,Brandon Johnson,Johnson,,,,5000,IND@DEN,DEN,IND,Q,Ankle
,81393-165962:Nikola Kalinic,81393-165962,TE,Nikola,Nikola Kalinic,Kalinic,,,,5000,IND@DEN,IND,DEN,,
,81393-91085:Michael Young Jr.,81393-91085,WR,Michael,Michael Young Jr.,Young Jr.,,,,5000,IND@DEN,IND,DEN,,
,81393-70868:Damarea Crockett,81393-70868,RB,Damarea,Damarea Crockett,Crockett,0.699999988,,1,5000,IND@DEN,DEN,IND,IR,Knee - acl
,81393-86359:Jared Scott,81393-86359,TE,Jared,Jared Scott,Scott,,,,5000,IND@DEN,IND,DEN,,
,81393-8023:Josh Johnson,81393-8023,QB,Josh,Josh Johnson,Johnson,12.07999992,,4,5000,IND@DEN,DEN,IND,,
,81393-149717:JaQuan Hardy,81393-149717,RB,JaQuan,JaQuan Hardy,Hardy,4.449999809,,2,5000,IND@DEN,DEN,IND,,
,81393-88793:Stevie Scott III,81393-88793,RB,Stevie,Stevie Scott III,Scott III,,,,5000,IND@DEN,DEN,IND,,
,81393-130265:John Hurst,81393-130265,WR,John,John Hurst,Hurst,,,,5000,IND@DEN,IND,DEN,Q,Ankle
,81393-64222:Jordan Glasgow,81393-64222,RB,Jordan,Jordan Glasgow,Glasgow,,,,5000,IND@DEN,IND,DEN,Q,Undisclosed
,81393-95455:D.J. Montgomery,81393-95455,WR,D.J.,D.J. Montgomery,Montgomery,5.099999905,,1,5000,IND@DEN,IND,DEN,,
,81393-170208:Kaden Davis,81393-170208,WR,Kaden,Kaden Davis,Davis,,,,5000,IND@DEN,DEN,IND,,
,81393-170209:Tyreik McAllister,81393-170209,WR,Tyreik,Tyreik McAllister,McAllister,,,,5000,IND@DEN,DEN,IND,Q,Hamstring
,81393-61157:Brett Rypien,81393-61157,QB,Brett,Brett Rypien,Rypien,0,,1,5000,IND@DEN,DEN,IND,,
