keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
x,84839-64401:Saquon Barkley,84839-64401,RB,Saquon,Saquon Barkley,Barkley,15.79999953,13,16500,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-63519:Daniel Jones,84839-63519,QB,Daniel,Daniel Jones,Jones,17.39692336,13,15000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-53331:Taylor Heinicke,84839-53331,QB,Taylor,Taylor Heinicke,Heinicke,15.8,7,14500,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-56250:Terry McLaurin,84839-56250,WR,Terry,Terry McLaurin,McLaurin,11.16923053,13,14000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-90562:Brian Robinson Jr.,84839-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,9.166666667,9,13000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-90933:Antonio Gibson,84839-90933,RB,Antonio,Antonio Gibson,Gibson,10.39230816,13,12000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-63819:Darius Slayton,84839-63819,WR,Darius,Darius Slayton,Slayton,9.030000305,10,11500,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-52613:Curtis Samuel,84839-52613,WR,Curtis,Curtis Samuel,Samuel,9.49230781,13,11000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-93055:Isaiah Hodgins,84839-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,7.483333588,6,10000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-12552:Washington Commanders,84839-12552,D,Washington,Washington Commanders,Commanders,7.307692308,13,9500,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-86229:Jahan Dotson,84839-86229,WR,Jahan,Jahan Dotson,Dotson,8.012499809,8,9000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
x,84839-12543:New York Giants,84839-12543,D,New York,New York Giants,Giants,5.230769231,13,9000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
