keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,85202-31716:Dak Prescott,85202-31716,QB,Dak,Dak Prescott,Prescott,"18,38",10,17500,DAL@TEN,DAL,TEN,,,
,85202-39280:Derrick Henry,85202-39280,RB,Derrick,Derrick Henry,Henry,18.19733276,15,16000,DAL@TEN,TEN,DAL,Q,Hip,
x,85202-86631:CeeDee Lamb,85202-86631,WR,CeeDee,CeeDee Lamb,Lamb,16.94,15,15000,DAL@TEN,DAL,TEN,,,
x,85202-87691:Malik Willis,85202-87691,QB,Malik,Malik Willis,Willis,8,7,14000,DAL@TEN,TEN,DAL,,,
x,85202-63759:Tony Pollard,85202-63759,RB,Tony,Tony Pollard,Pollard,14.89,15,13500,DAL@TEN,DAL,TEN,Q,Thigh,
x,85202-38791:Ezekiel Elliott,85202-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,14.6,13,13000,DAL@TEN,DAL,TEN,,,
x,85202-110259:Treylon Burks,85202-110259,WR,Treylon,Treylon Burks,Burks,6.8,9,11000,DAL@TEN,TEN,DAL,,,
x,85202-12530:Dallas Cowboys,85202-12530,D,Dallas,Dallas Cowboys,Cowboys,10.26666667,15,10000,DAL@TEN,DAL,TEN,,,
x,85202-27292:Brett Maher,85202-27292,K,Brett,Brett Maher,Maher,10.06666667,15,9500,DAL@TEN,DAL,TEN,,,
x,85202-69956:Michael Gallup,85202-69956,WR,Michael,Michael Gallup,Gallup,9,12,9000,DAL@TEN,DAL,TEN,,,
x,85202-12534:Tennessee Titans,85202-12534,D,Tennessee,Tennessee Titans,Titans,5.6,15,9000,DAL@TEN,TEN,DAL,,,
x,85202-55042:Dalton Schultz,85202-55042,TE,Dalton,Dalton Schultz,Schultz,8,13,8500,DAL@TEN,DAL,TEN,,,
x,85202-22100:Randy Bullock,85202-22100,K,Randy,Randy Bullock,Bullock,5.153846154,13,8500,DAL@TEN,TEN,DAL,,,
x,85202-29685:Robert Woods,85202-29685,WR,Robert,Robert Woods,Woods,5.5,15,8000,DAL@TEN,TEN,DAL,,,
x,85202-88297:Chig Okonkwo,85202-88297,TE,Chig,Chig Okonkwo,Okonkwo,5.046153729,13,7500,DAL@TEN,TEN,DAL,,,
x,85202-64389:Nick Westbrook-Ikhine,85202-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,6.6,13,7000,DAL@TEN,TEN,DAL,,,
x,85202-56248:Noah Brown,85202-56248,WR,Noah,Noah Brown,Brown,7.5,13,7000,DAL@TEN,DAL,TEN,,,
x,85202-22031:T.Y. Hilton,85202-22031,WR,T.Y.,T.Y. Hilton,Hilton,5,1,6500,DAL@TEN,DAL,TEN,,,
,85202-30403:Chris Conley,85202-30403,WR,Chris,Chris Conley,Conley,1.649999976,4,6500,DAL@TEN,TEN,DAL,,,
x,85202-40126:Austin Hooper,85202-40126,TE,Austin,Austin Hooper,Hooper,4.666666667,15,6000,DAL@TEN,TEN,DAL,,,
,85202-55748:James Washington,85202-55748,WR,James,James Washington,Washington,0,1,6000,DAL@TEN,DAL,TEN,,,
,85202-89680:Jake Ferguson,85202-89680,TE,Jake,Jake Ferguson,Ferguson,4.088888804,9,6000,DAL@TEN,DAL,TEN,,,
x,85202-91361:Hassan Haskins,85202-91361,RB,Hassan,Hassan Haskins,Haskins,1.160000038,10,6000,DAL@TEN,TEN,DAL,,,
,85202-60957:KaVontae Turpin,85202-60957,WR,KaVontae,KaVontae Turpin,Turpin,0.07857143,14,5500,DAL@TEN,DAL,TEN,,,
,85202-86047:Malik Davis,85202-86047,RB,Malik,Malik Davis,Davis,5.574999809,4,5500,DAL@TEN,DAL,TEN,,,
,85202-71723:Dez Fitzpatrick,85202-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,4.46666654,3,5500,DAL@TEN,TEN,DAL,,,
x,85202-170184:Julius Chestnut,85202-170184,RB,Julius,Julius Chestnut,Chestnut,0.774999976,4,5500,DAL@TEN,TEN,DAL,,,
,85202-85731:Racey McMath,85202-85731,WR,Racey,Racey McMath,McMath,0.300000012,2,5500,DAL@TEN,TEN,DAL,,,
,85202-88816:Peyton Hendershot,85202-88816,TE,Peyton,Peyton Hendershot,Hendershot,4.25,8,5500,DAL@TEN,DAL,TEN,,,
,85202-38523:Geoff Swaim,85202-38523,TE,Geoff,Geoff Swaim,Swaim,1.766666624,9,5500,DAL@TEN,TEN,DAL,,,
,85202-63360:Antonio Callaway,85202-63360,WR,Antonio,Antonio Callaway,Callaway,,,5000,DAL@TEN,DAL,TEN,,,
,85202-130310:Lirim Hajrullahu,85202-130310,K,Lirim,Lirim Hajrullahu,Hajrullahu,5,4,5000,DAL@TEN,DAL,TEN,,,
,85202-80011:Antony Auclair,85202-80011,TE,Antony,Antony Auclair,Auclair,3.299999952,4,5000,DAL@TEN,TEN,DAL,,,
,85202-89613:Simi Fehoko,85202-89613,WR,Simi,Simi Fehoko,Fehoko,1.950000048,2,5000,DAL@TEN,DAL,TEN,IR,Shoulder,
,85202-130317:Juwan Green,85202-130317,WR,Juwan,Juwan Green,Green,,,5000,DAL@TEN,TEN,DAL,,,
,85202-83091:Trenton Cannon,85202-83091,RB,Trenton,Trenton Cannon,Cannon,0,1,5000,DAL@TEN,TEN,DAL,IR,Knee,
,85202-29715:Kevin Hogan,85202-29715,QB,Kevin,Kevin Hogan,Hogan,,,5000,DAL@TEN,TEN,DAL,,,
,85202-71702:Caleb Shudak,85202-71702,K,Caleb,Caleb Shudak,Shudak,10,1,5000,DAL@TEN,TEN,DAL,,,
,85202-80281:C.J. Board,85202-80281,WR,C.J.,C.J. Board,Board,0.275000006,4,5000,DAL@TEN,TEN,DAL,IR,Ribs,
,85202-53913:Cody Hollister,85202-53913,WR,Cody,Cody Hollister,Hollister,1.725000024,4,5000,DAL@TEN,TEN,DAL,IR,Neck,
,85202-23194:Josh Gordon,85202-23194,WR,Josh,Josh Gordon,Gordon,0,1,5000,DAL@TEN,TEN,DAL,,,
,85202-83226:Kevin Rader,85202-83226,TE,Kevin,Kevin Rader,Rader,0.899999976,2,5000,DAL@TEN,TEN,DAL,,,
,85202-88995:Reggie Roberson Jr.,85202-88995,WR,Reggie,Reggie Roberson Jr.,Roberson Jr.,,,5000,DAL@TEN,TEN,DAL,,,
,85202-137249:Briley Moore,85202-137249,TE,Briley,Briley Moore,Moore,,,5000,DAL@TEN,TEN,DAL,,,
,85202-86692:Thomas Odukoya,85202-86692,TE,Thomas,Thomas Odukoya,Odukoya,,,5000,DAL@TEN,TEN,DAL,,,
,85202-63399:Terry Godwin II,85202-63399,WR,Terry,Terry Godwin II,Godwin II,,,5000,DAL@TEN,TEN,DAL,,,
,85202-44715:Cooper Rush,85202-44715,QB,Cooper,Cooper Rush,Rush,8.519999913,7,5000,DAL@TEN,DAL,TEN,,,
,85202-32429:Josh Lambo,85202-32429,K,Josh,Josh Lambo,Lambo,3,1,5000,DAL@TEN,TEN,DAL,,,
,85202-27065:Deante Burton,85202-27065,WR,Deante,Deante Burton,Burton,,,5000,DAL@TEN,TEN,DAL,,,
,85202-55099:Ian Bunting,85202-55099,TE,Ian,Ian Bunting,Bunting,,,5000,DAL@TEN,DAL,TEN,IR,Neck,
,85202-21948:Ryan Tannehill,85202-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.93666712,12,5000,DAL@TEN,TEN,DAL,O,Ankle,
,85202-102721:Dontario Drummond,85202-102721,WR,Dontario,Dontario Drummond,Drummond,,,5000,DAL@TEN,DAL,TEN,,,
,85202-31169:Jeremy Sprinkle,85202-31169,TE,Jeremy,Jeremy Sprinkle,Sprinkle,2.299999952,2,5000,DAL@TEN,DAL,TEN,Q,Achilles,
,85202-55366:Qadree Ollison,85202-55366,RB,Qadree,Qadree Ollison,Ollison,2.950000127,6,5000,DAL@TEN,DAL,TEN,,,
,85202-72135:T.J. Vasher,85202-72135,WR,T.J.,T.J. Vasher,Vasher,,,5000,DAL@TEN,DAL,TEN,,,
,85202-52808:Dontrell Hilliard,85202-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,5.558333079,12,5000,DAL@TEN,TEN,DAL,IR,Neck,
,85202-88776:Ty Fryfogle,85202-88776,WR,Ty,Ty Fryfogle,Fryfogle,,,5000,DAL@TEN,DAL,TEN,,,
,85202-69068:Jonathan Ward,85202-69068,RB,Jonathan,Jonathan Ward,Ward,1.366666635,6,5000,DAL@TEN,TEN,DAL,,,
,85202-54863:C.J. Goodwin,85202-54863,WR,C.J.,C.J. Goodwin,Goodwin,2.099999905,1,5000,DAL@TEN,DAL,TEN,,,
,85202-85714:Tory Carter,85202-85714,RB,Tory,Tory Carter,Carter,0,1,5000,DAL@TEN,TEN,DAL,,,
,85202-40407:Joshua Dobbs,85202-40407,QB,Joshua,Joshua Dobbs,Dobbs,,,5000,DAL@TEN,TEN,DAL,,,
,85202-112605:Jonathan Garibay,85202-112605,K,Jonathan,Jonathan Garibay,Garibay,,,5000,DAL@TEN,DAL,TEN,,,
,85202-170214:Dennis Houston,85202-170214,WR,Dennis,Dennis Houston,Houston,1.299999952,2,5000,DAL@TEN,DAL,TEN,,,
,85202-68708:Seth Green,85202-68708,TE,Seth,Seth Green,Green,,,5000,DAL@TEN,DAL,TEN,,,
x,85202-88548:Jalen Tolbert,85202-88548,WR,Jalen,Jalen Tolbert,Tolbert,1.100000024,2,5000,DAL@TEN,DAL,TEN,,,
,85202-130276:Mason Kinsey,85202-130276,WR,Mason,Mason Kinsey,Kinsey,0.400000006,2,5000,DAL@TEN,TEN,DAL,,,
,85202-57064:Ryan Nall,85202-57064,RB,Ryan,Ryan Nall,Nall,0.649999976,2,5000,DAL@TEN,DAL,TEN,Q,Shoulder,
,85202-72297:Rico Dowdle,85202-72297,RB,Rico,Rico Dowdle,Dowdle,,,5000,DAL@TEN,DAL,TEN,IR,Ankle,
,85202-86125:Brandon Smith,85202-86125,WR,Brandon,Brandon Smith,Smith,,,5000,DAL@TEN,DAL,TEN,,,
,85202-63469:Ben DiNucci,85202-63469,QB,Ben,Ben DiNucci,DiNucci,,,5000,DAL@TEN,DAL,TEN,,,
,85202-101614:Brandon Lewis,85202-101614,WR,Brandon,Brandon Lewis,Lewis,,,5000,DAL@TEN,TEN,DAL,,,
,85202-60788:Nick Ralston,85202-60788,TE,Nick,Nick Ralston,Ralston,,,5000,DAL@TEN,DAL,TEN,,,
,85202-52342:Will Grier,85202-52342,QB,Will,Will Grier,Grier,,,5000,DAL@TEN,DAL,TEN,,,
,85202-60791:Tommy Hudson,85202-60791,TE,Tommy,Tommy Hudson,Hudson,1.149999976,4,5000,DAL@TEN,TEN,DAL,Q,Undisclosed,
,85202-68730:Sean McKeon,85202-68730,TE,Sean,Sean McKeon,McKeon,1.049999952,2,5000,DAL@TEN,DAL,TEN,,,
,85202-91902:Kyle Philips,85202-91902,WR,Kyle,Kyle Philips,Philips,1.950000048,4,5000,DAL@TEN,TEN,DAL,IR,Hamstring,
