keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,84430-96942:Keelan Doss,84430-96942,WR,Keelan,Keelan Doss,Doss,,,5000,MIA@LAC,LAC,MIA,,,
,84430-69173:Hunter Kampmoyer,84430-69173,TE,Hunter,Hunter Kampmoyer,Kampmoyer,,,5000,MIA@LAC,LAC,MIA,,,
,84430-71477:Maurice Ffrench,84430-71477,WR,Maurice,Maurice Ffrench,Ffrench,0.300000012,1,5000,MIA@LAC,LAC,MIA,,,
,84430-69303:Freddie Swain,84430-69303,WR,Freddie,Freddie Swain,Swain,4.352941176,17,5000,MIA@LAC,MIA,LAC,,,
,84430-60984:Jake Bargas,84430-60984,TE,Jake,Jake Bargas,Bargas,,,5000,MIA@LAC,MIA,LAC,,,
,84430-89272:ZaQuandre White,84430-89272,RB,ZaQuandre,ZaQuandre White,White,,,5000,MIA@LAC,MIA,LAC,,,
,84430-72382:Gabe Nabers,84430-72382,RB,Gabe,Gabe Nabers,Nabers,0.8,5,5000,MIA@LAC,LAC,MIA,,,
,84430-87617:Sage Surratt,84430-87617,WR,Sage,Sage Surratt,Surratt,,,5000,MIA@LAC,LAC,MIA,Q,Undisclosed,
,84430-38722:Cethan Carter,84430-38722,TE,Cethan,Cethan Carter,Carter,1.299999952,2,5000,MIA@LAC,MIA,LAC,IR,Concussion,
,84430-89283:Tre' McKitty,84430-89283,TE,Tre',Tre' McKitty,McKitty,1.616666635,6,5000,MIA@LAC,LAC,MIA,,,
,84430-71367:La'Mical Perine,84430-71367,RB,La'Mical,La'Mical Perine,Perine,1.549999952,2,5000,MIA@LAC,MIA,LAC,,,
,84430-93767:Calvin Jackson Jr.,84430-93767,WR,Calvin,Calvin Jackson Jr.,Jackson Jr.,,,5000,MIA@LAC,MIA,LAC,,,
,84430-86472:John Hightower,84430-86472,WR,John,John Hightower,Hightower,0,1,5000,MIA@LAC,LAC,MIA,,,
,84430-64843:Jalen Guyton,84430-64843,WR,Jalen,Jalen Guyton,Guyton,3.700000048,2,5000,MIA@LAC,LAC,MIA,IR,Knee - acl,
,84430-170188:Tanner Conner,84430-170188,TE,Tanner,Tanner Conner,Conner,0,2,5000,MIA@LAC,MIA,LAC,,,
,84430-24912:Dustin Hopkins,84430-24912,K,Dustin,Dustin Hopkins,Hopkins,8,5,5000,MIA@LAC,LAC,MIA,IR,Hamstring,
,84430-69205:Trevon Bradford,84430-69205,WR,Trevon,Trevon Bradford,Bradford,,,5000,MIA@LAC,LAC,MIA,,,
,84430-104278:Donald Parham Jr.,84430-104278,TE,Donald,Donald Parham Jr.,Parham Jr.,3.400000095,2,5000,MIA@LAC,LAC,MIA,IR,Hamstring,
,84430-104025:John Lovett,84430-104025,RB,John,John Lovett,Lovett,,,5000,MIA@LAC,MIA,LAC,IR,Undisclosed,
,84430-94936:Larry Rountree III,84430-94936,RB,Larry,Larry Rountree III,Rountree III,1.67777782,9,5000,MIA@LAC,LAC,MIA,,,
,84430-130269:Reid Sinnett,84430-130269,QB,Reid,Reid Sinnett,Sinnett,,,5000,MIA@LAC,MIA,LAC,,,
,84430-93404:Zander Horvath,84430-93404,RB,Zander,Zander Horvath,Horvath,2.012500048,8,5000,MIA@LAC,LAC,MIA,,,
,84430-79967:Adam Shaheen,84430-79967,TE,Adam,Adam Shaheen,Shaheen,2.428571429,7,5000,MIA@LAC,MIA,LAC,IR,Knee,
,84430-8803:Chase Daniel,84430-8803,QB,Chase,Chase Daniel,Daniel,0,1,5000,MIA@LAC,LAC,MIA,,,
,84430-32356:Taylor Bertolet,84430-32356,K,Taylor,Taylor Bertolet,Bertolet,7.5,2,5000,MIA@LAC,LAC,MIA,O,Quadriceps,
,84430-87013:Erik Krommenhoek,84430-87013,TE,Erik,Erik Krommenhoek,Krommenhoek,,,5000,MIA@LAC,LAC,MIA,,,
,84430-104297:Jason Moore Jr.,84430-104297,WR,Jason,Jason Moore Jr.,Moore Jr.,1,1,5000,MIA@LAC,LAC,MIA,,,
,84430-33259:Teddy Bridgewater,84430-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,7.994999886,4,5000,MIA@LAC,MIA,LAC,Q,Knee,
,84430-71661:Tino Ellis,84430-71661,WR,Tino,Tino Ellis,Ellis,,,5000,MIA@LAC,MIA,LAC,,,
,84430-96250:DeVonte Dedmon,84430-96250,WR,DeVonte,DeVonte Dedmon,Dedmon,,,5000,MIA@LAC,MIA,LAC,,,
