keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,82810-73266:Dylan Soehner,82810-73266,TE,Dylan,Dylan Soehner,Soehner,,,,5000,BAL@NO,NO,BAL,NA,Undisclosed,
,82810-169908:Dai'Jean Dixon,82810-169908,WR,Dai'Jean,Dai'Jean Dixon,Dixon,,,,5000,BAL@NO,NO,BAL,,,
,82810-86075:Lucas Krull,82810-86075,TE,Lucas,Lucas Krull,Krull,,,,5000,BAL@NO,NO,BAL,,,
,82810-63419:Andy Isabella,82810-63419,WR,Andy,Andy Isabella,Isabella,1.549999952,,2,5000,BAL@NO,BAL,NO,,,
,82810-52929:Jake Luton,82810-52929,QB,Jake,Jake Luton,Luton,,,,5000,BAL@NO,NO,BAL,,,
,82810-86984:Devon Williams,82810-86984,WR,Devon,Devon Williams,Williams,,,,5000,BAL@NO,BAL,NO,,,
,82810-69069:Tony Poljan,82810-69069,TE,Tony,Tony Poljan,Poljan,,,,5000,BAL@NO,BAL,NO,,,
,82810-65231:Adam Prentice,82810-65231,RB,Adam,Adam Prentice,Prentice,0.699999988,,1,5000,BAL@NO,NO,BAL,,,
x,82810-63186:James Proche II,82810-63186,WR,James,James Proche II,Proche II,2.549999952,0,2,5000,BAL@NO,BAL,NO,,,
,82810-63576:Kirk Merritt,82810-63576,WR,Kirk,Kirk Merritt,Merritt,1.799999952,,1,5000,BAL@NO,NO,BAL,,,
x,82810-87515:Tylan Wallace,82810-87515,WR,Tylan,Tylan Wallace,Wallace,0.899999976,0,4,5000,BAL@NO,BAL,NO,,,
,82810-29915:Brett Hundley,82810-29915,QB,Brett,Brett Hundley,Hundley,,,,5000,BAL@NO,NO,BAL,,,
,82810-69597:Anthony Brown,82810-69597,QB,Anthony,Anthony Brown,Brown,,,,5000,BAL@NO,BAL,NO,,,
,82810-73180:Binjimen Victor,82810-73180,WR,Binjimen,Binjimen Victor,Victor,,,,5000,BAL@NO,BAL,NO,,,
,82810-103900:Brandon Dillon,82810-103900,TE,Brandon,Brandon Dillon,Dillon,,,,5000,BAL@NO,NO,BAL,,,
x,82810-130270:Adam Trautman,82810-130270,TE,Adam,Adam Trautman,Trautman,4.525000095,1,4,5000,BAL@NO,NO,BAL,,,
,82810-88035:John Parker Romo,82810-88035,K,John Parker,John Parker Romo,Romo,,,,5000,BAL@NO,NO,BAL,,,
,82810-25957:J.P. Holtz,82810-25957,TE,J.P.,J.P. Holtz,Holtz,,,,5000,BAL@NO,NO,BAL,,,
,82810-104176:Deonte Harty,82810-104176,WR,Deonte,Deonte Harty,Harty,0.075000003,,4,5000,BAL@NO,NO,BAL,IR,Foot,
,82810-52468:Ethan Wolf,82810-52468,TE,Ethan,Ethan Wolf,Wolf,1.799999952,,1,5000,BAL@NO,NO,BAL,,,
,82810-70133:Jake Funk,82810-70133,RB,Jake,Jake Funk,Funk,0.2,,5,5000,BAL@NO,NO,BAL,,,
,82810-71672:K.J. Costello,82810-71672,QB,K.J.,K.J. Costello,Costello,,,,5000,BAL@NO,NO,BAL,,,
,82810-89214:Abram Smith,82810-89214,RB,Abram,Abram Smith,Smith,,,,5000,BAL@NO,NO,BAL,,,
