keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,83530-57439:Patrick Mahomes,83530-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.8,9,17000,KC@LAC,KC,LAC,,,
x,83530-80001:Austin Ekeler,83530-80001,RB,Austin,Austin Ekeler,Ekeler,20.5,9,15000,KC@LAC,LAC,KC,,,
x,83530-33076:Travis Kelce,83530-33076,TE,Travis,Travis Kelce,Kelce,16.4,9,14500,KC@LAC,KC,LAC,,,
x,83530-69189:Justin Herbert,83530-69189,QB,Justin,Justin Herbert,Herbert,17.5,9,14000,KC@LAC,LAC,KC,,,
x,83530-39829:Mike Williams,83530-39829,WR,Mike,Mike Williams,Williams,11.9,7,12500,KC@LAC,LAC,KC,Q,Ankle,
,83530-55987:JuJu Smith-Schuster,83530-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,10.5,9,11500,KC@LAC,KC,LAC,O,Concussion,
x,83530-29253:Keenan Allen,83530-29253,WR,Keenan,Keenan Allen,Allen,8.5,2,10500,KC@LAC,LAC,KC,Q,Hamstring,
x,83530-87418:Joshua Palmer,83530-87418,WR,Joshua,Joshua Palmer,Palmer,7.987500191,8,10000,KC@LAC,LAC,KC,,,
,83530-71352:Mecole Hardman,83530-71352,WR,Mecole,Mecole Hardman,Hardman,10.16250038,8,9500,KC@LAC,KC,LAC,IR,Abdomen,
x,83530-92575:Isiah Pacheco,83530-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.4,9,9000,KC@LAC,KC,LAC,,,
x,83530-41642:Harrison Butker,83530-41642,K,Harrison,Harrison Butker,Butker,7,5,9000,KC@LAC,KC,LAC,,,
x,83530-86052:Kadarius Toney,83530-86052,WR,Kadarius,Kadarius Toney,Toney,6.4,4,8500,KC@LAC,KC,LAC,,,
,83530-24912:Dustin Hopkins,83530-24912,K,Dustin,Dustin Hopkins,Hopkins,8,5,8500,KC@LAC,LAC,KC,D,Hamstring,
x,83530-92496:Cameron Dicker,83530-92496,K,Cameron,Cameron Dicker,Dicker,9.666666667,3,8500,KC@LAC,LAC,KC,,,
x,83530-12548:Los Angeles Chargers,83530-12548,D,Los Angeles,Los Angeles Chargers,Chargers,4.444444444,9,8000,KC@LAC,LAC,KC,,,
x,83530-12536:Kansas City Chiefs,83530-12536,D,Kansas City,Kansas City Chiefs,Chiefs,5.777777778,9,8000,KC@LAC,KC,LAC,,,
x,83530-62628:DeAndre Carter,83530-62628,WR,DeAndre,DeAndre Carter,Carter,6.6,9,7500,KC@LAC,LAC,KC,,,
x,83530-40647:Marquez Valdes-Scantling,83530-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,7.5,9,7500,KC@LAC,KC,LAC,,,
x,83530-85741:Clyde Edwards-Helaire,83530-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,9.877777947,9,7500,KC@LAC,KC,LAC,,,
x,83530-112062:Skyy Moore,83530-112062,WR,Skyy,Skyy Moore,Moore,1.122222265,9,7000,KC@LAC,KC,LAC,,,
x,83530-54608:Jerick McKinnon,83530-54608,RB,Jerick,Jerick McKinnon,McKinnon,5.800000085,9,7000,KC@LAC,KC,LAC,,,
x,83530-57299:Gerald Everett,83530-57299,TE,Gerald,Gerald Everett,Everett,7.266666836,9,7000,KC@LAC,LAC,KC,Q,Groin,
x,83530-83083:Justin Watson,83530-83083,WR,Justin,Justin Watson,Watson,2.977777693,9,6500,KC@LAC,KC,LAC,,,
x,83530-154661:Michael Bandy,83530-154661,WR,Michael,Michael Bandy,Bandy,2.379999924,5,6500,KC@LAC,LAC,KC,,,
x,83530-114100:Isaiah Spiller,83530-114100,RB,Isaiah,Isaiah Spiller,Spiller,0.900000016,3,6500,KC@LAC,LAC,KC,,,
,83530-68741:Brandon Peters,83530-68741,QB,Brandon,Brandon Peters,Peters,,,6000,KC@LAC,LAC,KC,,,
