keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,83863-69531:Jalen Hurts,83863-69531,QB,Jalen,Jalen Hurts,Hurts,23.5,10,17000,GB@PHI,PHI,GB,,,
x,83863-6894:Aaron Rodgers,83863-6894,QB,Aaron,Aaron Rodgers,Rodgers,15,11,15500,GB@PHI,GB,PHI,,,
x,83863-72846:A.J. Brown,83863-72846,WR,A.J.,A.J. Brown,Brown,14.5,10,14500,GB@PHI,PHI,GB,,,
x,83863-40442:Aaron Jones,83863-40442,RB,Aaron,Aaron Jones,Jones,14.6,11,13500,GB@PHI,GB,PHI,,,
x,83863-71845:Miles Sanders,83863-71845,RB,Miles,Miles Sanders,Sanders,12.2,10,13000,GB@PHI,PHI,GB,,,
x,83863-90576:DeVonta Smith,83863-90576,WR,DeVonta,DeVonta Smith,Smith,10.5,10,12000,GB@PHI,PHI,GB,,,
x,83863-169776:Christian Watson,83863-169776,WR,Christian,Christian Watson,Watson,8.9375,8,11500,GB@PHI,GB,PHI,,,
x,83863-56809:Allen Lazard,83863-56809,WR,Allen,Allen Lazard,Lazard,11.32222239,9,11000,GB@PHI,GB,PHI,,,
x,83863-93107:AJ Dillon,83863-93107,RB,AJ,AJ Dillon,Dillon,6.554545316,11,10000,GB@PHI,GB,PHI,,,
x,83863-12545:Philadelphia Eagles,83863-12545,D,Philadelphia,Philadelphia Eagles,Eagles,9.7,10,9500,GB@PHI,PHI,GB,,,
x,83863-90912:Kenneth Gainwell,83863-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,6,10,9500,GB@PHI,PHI,GB,,,
x,83863-41235:Jake Elliott,83863-41235,K,Jake,Jake Elliott,Elliott,5.666666667,9,9000,GB@PHI,PHI,GB,,,
x,83863-12533:Green Bay Packers,83863-12533,D,Green Bay,Green Bay Packers,Packers,5.545454545,11,9000,GB@PHI,GB,PHI,,,
x,83863-73687:Quez Watkins,83863-73687,WR,Quez,Quez Watkins,Watkins,4.1,10,8500,GB@PHI,PHI,GB,,,
x,83863-6897:Mason Crosby,83863-6897,K,Mason,Mason Crosby,Crosby,5.181818182,11,8500,GB@PHI,GB,PHI,,,
,83863-83074:Dallas Goedert,83863-83074,TE,Dallas,Dallas Goedert,Goedert,10.21111128,9,8000,GB@PHI,PHI,GB,IR,Shoulder,
x,83863-53390:Zach Pascal,83863-53390,WR,Zach,Zach Pascal,Pascal,3.3,8,8000,GB@PHI,PHI,GB,,,
x,83863-14257:Randall Cobb,83863-14257,WR,Randall,Randall Cobb,Cobb,6.428571429,7,8000,GB@PHI,GB,PHI,,,
,83863-94370:Romeo Doubs,83863-94370,WR,Romeo,Romeo Doubs,Doubs,7.111111111,9,7500,GB@PHI,GB,PHI,O,Ankle,
x,83863-24641:Sammy Watkins,83863-24641,WR,Sammy,Sammy Watkins,Watkins,3.871428626,7,7500,GB@PHI,GB,PHI,,,
x,83863-152631:Samori Toure,83863-152631,WR,Samori,Samori Toure,Toure,5.166666667,3,7000,GB@PHI,GB,PHI,,,
x,83863-80353:Robert Tonyan,83863-80353,TE,Robert,Robert Tonyan,Tonyan,5.518181888,11,7000,GB@PHI,GB,PHI,,,
,83863-86682:Grant Calcaterra,83863-86682,TE,Grant,Grant Calcaterra,Calcaterra,4.5,1,6500,GB@PHI,PHI,GB,,,
,83863-43433:Boston Scott,83863-43433,RB,Boston,Boston Scott,Scott,2.0625,8,6500,GB@PHI,PHI,GB,,,
x,83863-69451:Jack Stoll,83863-69451,TE,Jack,Jack Stoll,Stoll,1.350000064,6,6500,GB@PHI,PHI,GB,,,
,83863-72627:Patrick Taylor,83863-72627,RB,Patrick,Patrick Taylor,Taylor,4.050000191,4,6000,GB@PHI,GB,PHI,,,
,83863-64339:Auden Tate,83863-64339,WR,Auden,Auden Tate,Tate,2.849999905,4,6000,GB@PHI,PHI,GB,,,
,83863-6672:Marcedes Lewis,83863-6672,TE,Marcedes,Marcedes Lewis,Lewis,3.166666667,3,5500,GB@PHI,GB,PHI,,,
,83863-56142:Juwann Winfree,83863-56142,WR,Juwann,Juwann Winfree,Winfree,0.733333349,3,5500,GB@PHI,GB,PHI,,,
,83863-91225:Kylin Hill,83863-91225,RB,Kylin,Kylin Hill,Hill,0.699999988,1,5500,GB@PHI,GB,PHI,,,
,83863-60910:Dede Westbrook,83863-60910,WR,Dede,Dede Westbrook,Westbrook,0.983333349,12,5500,GB@PHI,GB,PHI,,,
,83863-86657:Kennedy Brooks,83863-86657,RB,Kennedy,Kennedy Brooks,Brooks,,,5000,GB@PHI,PHI,GB,,,
,83863-87690:Sal Cannella,83863-87690,TE,Sal,Sal Cannella,Cannella,,,5000,GB@PHI,GB,PHI,,,
,83863-71697:Shaun Beyer,83863-71697,TE,Shaun,Shaun Beyer,Beyer,,,5000,GB@PHI,GB,PHI,,,
x,83863-64147:Britain Covey,83863-64147,WR,Britain,Britain Covey,Covey,0,10,5000,GB@PHI,PHI,GB,,,
,83863-69017:Jordan Love,83863-69017,QB,Jordan,Jordan Love,Love,1.460000038,2,5000,GB@PHI,GB,PHI,,,
,83863-73118:Ian Book,83863-73118,QB,Ian,Ian Book,Book,4,1,5000,GB@PHI,PHI,GB,,,
