keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
x,84962-89951:Trevor Lawrence,84962-89951,QB,Trevor,Trevor Lawrence,Lawrence,20.5,14,16500,JAC@NYJ,JAC,NYJ,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
x,84962-90406:Zach Wilson,84962-90406,QB,Zach,Zach Wilson,Wilson,12.83,8,15000,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
,84962-40534:Mike White,84962-40534,QB,Mike,Mike White,White,18.32666651,3,15000,JAC@NYJ,NYJ,JAC,O,Ribs,,,,MVP - 1.5X Points/AnyFLEX
x,84962-89956:Travis Etienne Jr.,84962-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,10.64285714,14,14000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-103564:Garrett Wilson,84962-103564,WR,Garrett,Garrett Wilson,Wilson,12.83,14,13500,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-60858:Christian Kirk,84962-60858,WR,Christian,Christian Kirk,Kirk,13.59,14,13000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-103252:Zonovan Knight,84962-103252,RB,Zonovan,Zonovan Knight,Knight,10.77499962,4,12500,JAC@NYJ,NYJ,JAC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
x,84962-41305:Zay Jones,84962-41305,WR,Zay,Zay Jones,Jones,13.05,13,12000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-41872:Evan Engram,84962-41872,TE,Evan,Evan Engram,Engram,10.6,14,11000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-93539:Michael Carter,84962-93539,RB,Michael,Michael Carter,Carter,7.307692308,13,10000,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-12544:New York Jets,84962-12544,D,New York,New York Jets,Jets,7.714285714,14,9500,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-12554:Jacksonville Jaguars,84962-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,6.642857143,14,9000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-22109:Greg Zuerlein,84962-22109,K,Greg,Greg Zuerlein,Zuerlein,8.714285714,14,9000,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-90949:Riley Patterson,84962-90949,K,Riley,Riley Patterson,Patterson,7.714285714,14,8500,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-22103:Marvin Jones Jr.,84962-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,5.99230781,13,8000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-45439:Corey Davis,84962-45439,WR,Corey,Corey Davis,Davis,7.1,10,8000,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
,84962-65724:JaMycal Hasty,84962-65724,RB,JaMycal,JaMycal Hasty,Hasty,3.845454476,11,7500,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
x,84962-88575:Elijah Moore,84962-88575,WR,Elijah,Elijah Moore,Moore,5.700000069,11,7500,JAC@NYJ,NYJ,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
,84962-64350:Jeff Smith,84962-64350,WR,Jeff,Jeff Smith,Smith,2.485714231,7,7000,JAC@NYJ,NYJ,JAC,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
x,84962-79979:Jamal Agnew,84962-79979,WR,Jamal,Jamal Agnew,Agnew,4.65833346,12,7000,JAC@NYJ,JAC,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
