keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
x,81580-57439:Patrick Mahomes,81580-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.65999985,5,4,17500,LV@KC,KC,LV,,
x,81580-45859:Derek Carr,81580-45859,QB,Derek,Derek Carr,Carr,17.03000069,5,4,15000,LV@KC,LV,KC,,
x,81580-45889:Davante Adams,81580-45889,WR,Davante,Davante Adams,Adams,15,5,4,14500,LV@KC,LV,KC,,
x,81580-33076:Travis Kelce,81580-33076,TE,Travis,Travis Kelce,Kelce,16.32500076,5,4,13500,LV@KC,KC,LV,,
x,81580-85741:Clyde Edwards-Helaire,81580-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,17.25,5,4,12500,LV@KC,KC,LV,,
x,81580-72731:Josh Jacobs,81580-72731,RB,Josh,Josh Jacobs,Jacobs,15.14999962,5,4,12000,LV@KC,LV,KC,,
x,81580-25011:Darren Waller,81580-25011,TE,Darren,Darren Waller,Waller,7.875,4,4,10500,LV@KC,LV,KC,,
x,81580-55987:JuJu Smith-Schuster,81580-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,7.474999905,3,4,10000,LV@KC,KC,LV,Q,Hamstring
,81580-41642:Harrison Butker,81580-41642,K,Harrison,Harrison Butker,Butker,9,,1,9500,LV@KC,KC,LV,O,Ankle
x,81580-57330:Matthew Wright,81580-57330,K,Matthew,Matthew Wright,Wright,12,3,1,9500,LV@KC,KC,LV,,
x,81580-12536:Kansas City Chiefs,81580-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.25,3,4,9500,LV@KC,KC,LV,,
x,81580-40856:Daniel Carlson,81580-40856,K,Daniel,Daniel Carlson,Carlson,11.5,4,4,9000,LV@KC,LV,KC,,
x,81580-12537:Las Vegas Raiders,81580-12537,D,Las Vegas,Las Vegas Raiders,Raiders,4.25,1,4,9000,LV@KC,LV,KC,,
x,81580-57986:Hunter Renfrow,81580-57986,WR,Hunter,Hunter Renfrow,Renfrow,5.5,2,2,8500,LV@KC,LV,KC,,
x,81580-40647:Marquez Valdes-Scantling,81580-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,5.75,3,4,8000,LV@KC,KC,LV,,
x,81580-25267:Mack Hollins,81580-25267,WR,Mack,Mack Hollins,Hollins,10.48999977,3,4,7500,LV@KC,LV,KC,,
x,81580-71352:Mecole Hardman,81580-71352,WR,Mecole,Mecole Hardman,Hardman,4.175000191,2,4,7500,LV@KC,KC,LV,,
x,81580-92575:Isiah Pacheco,81580-92575,RB,Isiah,Isiah Pacheco,Pacheco,5,2,4,7000,LV@KC,KC,LV,,
