keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Min,Max,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,83673-47523:Tajae Sharpe,83673-47523,WR,Tajae,Tajae Sharpe,Sharpe,2.535714286,,,14,5000,SF@ARI,SF,ARI,O,Undisclosed,
,83673-60838:Andre Baccellia,83673-60838,WR,Andre,Andre Baccellia,Baccellia,2.25,,,2,5000,SF@ARI,ARI,SF,,,
,83673-104102:Leroy Watson,83673-104102,TE,Leroy,Leroy Watson,Watson,,,,,5000,SF@ARI,SF,ARI,,,
,83673-40746:Troy Fumagalli,83673-40746,TE,Troy,Troy Fumagalli,Fumagalli,,,,,5000,SF@ARI,SF,ARI,,,
,83673-47788:Deon Yelder,83673-47788,TE,Deon,Deon Yelder,Yelder,0.5,,,1,5000,SF@ARI,ARI,SF,,,
,83673-63791:Rodrigo Blankenship,83673-63791,K,Rodrigo,Rodrigo Blankenship,Blankenship,9.5,,,2,5000,SF@ARI,ARI,SF,Q,Undisclosed,
,83673-60849:Blake Lynch,83673-60849,WR,Blake,Blake Lynch,Lynch,,,,,5000,SF@ARI,ARI,SF,,,
,83673-60977:Ty'Son Williams,83673-60977,RB,Ty'Son,Ty'Son Williams,Williams,5.342857361,,,7,5000,SF@ARI,ARI,SF,,,
,83673-40758:Corey Clement,83673-40758,RB,Corey,Corey Clement,Clement,3.699999946,,,7,5000,SF@ARI,ARI,SF,,,
,83673-71351:Charlie Woerner,83673-71351,TE,Charlie,Charlie Woerner,Woerner,0,,,2,5000,SF@ARI,SF,ARI,,,
,83673-85687:Jontre Kirklin,83673-85687,WR,Jontre,Jontre Kirklin,Kirklin,,,,,5000,SF@ARI,ARI,SF,,,
,83673-71359:Javon Wims,83673-71359,WR,Javon,Javon Wims,Wims,,,,,5000,SF@ARI,ARI,SF,,,
,83673-64194:Matt Ammendola,83673-64194,K,Matt,Matt Ammendola,Ammendola,5,,,4,5000,SF@ARI,ARI,SF,,,
,83673-149696:Trey Lance,83673-149696,QB,Trey,Trey Lance,Lance,6.730000019,,,2,5000,SF@ARI,SF,ARI,IR,Ankle,
,83673-30787:Alex Ellis,83673-30787,TE,Alex,Alex Ellis,Ellis,,,,,5000,SF@ARI,ARI,SF,Q,Undisclosed,
,83673-83138:Ross Dwelley,83673-83138,TE,Ross,Ross Dwelley,Dwelley,4.5,,,4,5000,SF@ARI,SF,ARI,,,
,83673-72133:Antoine Wesley,83673-72133,WR,Antoine,Antoine Wesley,Wesley,5.588888804,,,9,5000,SF@ARI,ARI,SF,IR,Quadriceps,
,83673-89029:Chris Pierce Jr.,83673-89029,TE,Chris,Chris Pierce Jr.,Pierce Jr.,,,,,5000,SF@ARI,ARI,SF,,,
,83673-69705:Garrett Walston,83673-69705,TE,Garrett,Garrett Walston,Walston,,,,,5000,SF@ARI,SF,ARI,,,
,83673-71242:Jarrett Guarantano,83673-71242,QB,Jarrett,Jarrett Guarantano,Guarantano,,,,,5000,SF@ARI,ARI,SF,,,
,83673-68685:Austin Mack,83673-68685,WR,Austin,Austin Mack,Mack,,,,,5000,SF@ARI,SF,ARI,,,
,83673-69068:Jonathan Ward,83673-69068,RB,Jonathan,Jonathan Ward,Ward,1.366666635,,,6,5000,SF@ARI,ARI,SF,IR,Hamstring,
,83673-72780:Josh Hokit,83673-72780,RB,Josh,Josh Hokit,Hokit,,,,,5000,SF@ARI,ARI,SF,,,
,83673-138189:Changa Hodge,83673-138189,WR,Changa,Changa Hodge,Hodge,,,,,5000,SF@ARI,ARI,SF,,,
,83673-41042:Marcell Ateman,83673-41042,WR,Marcell,Marcell Ateman,Ateman,,,,,5000,SF@ARI,ARI,SF,,,
,83673-72531:Taysir Mack,83673-72531,WR,Taysir,Taysir Mack,Mack,,,,,5000,SF@ARI,SF,ARI,,,
,83673-69333:Jacob Eason,83673-69333,QB,Jacob,Jacob Eason,Eason,1.360000014,,,1,5000,SF@ARI,SF,ARI,,,
,83673-103764:Jared Smart,83673-103764,WR,Jared,Jared Smart,Smart,,,,,5000,SF@ARI,ARI,SF,,,
,83673-149727:Bernhard Seikovits,83673-149727,TE,Bernhard,Bernhard Seikovits,Seikovits,,,,,5000,SF@ARI,ARI,SF,,,
,83673-85607:Brock Purdy,83673-85607,QB,Brock,Brock Purdy,Purdy,0.819999993,,,2,5000,SF@ARI,SF,ARI,,,
,83673-86634:TJ Pledger,83673-86634,RB,TJ,TJ Pledger,Pledger,,,,,5000,SF@ARI,ARI,SF,,,
,83673-30837:Jordan Matthews,83673-30837,WR,Jordan,Jordan Matthews,Matthews,,,,,5000,SF@ARI,SF,ARI,IR,Knee - acl,
,83673-46200:Daniel Brunskill,83673-46200,TE,Daniel,Daniel Brunskill,Brunskill,,,,,5000,SF@ARI,SF,ARI,,,
,83673-39034:Kurt Benkert,83673-39034,QB,Kurt,Kurt Benkert,Benkert,-0.100000001,,,1,5000,SF@ARI,SF,ARI,,,
,83673-94975:Stephon Robinson Jr.,83673-94975,WR,Stephon,Stephon Robinson Jr.,Robinson Jr.,,,,,5000,SF@ARI,ARI,SF,,,
