keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Tier,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,82579-63336:Joe Burrow,82579-63336,QB,Joe,Joe Burrow,Burrow,24.55428641,5,7,17000,CIN@CLE,CIN,CLE,,,
x,82579-53562:Nick Chubb,82579-53562,RB,Nick,Nick Chubb,Chubb,19.02857099,5,7,15000,CIN@CLE,CLE,CIN,,,
x,82579-30231:Jacoby Brissett,82579-30231,QB,Jacoby,Jacoby Brissett,Brissett,13.90857152,4,7,14000,CIN@CLE,CLE,CIN,,,
x,82579-89981:Tee Higgins,82579-89981,WR,Tee,Tee Higgins,Higgins,12.16666667,5,6,13500,CIN@CLE,CIN,CLE,,,
x,82579-52442:Joe Mixon,82579-52442,RB,Joe,Joe Mixon,Mixon,12.88571385,5,7,13000,CIN@CLE,CIN,CLE,,,
x,82579-40669:Tyler Boyd,82579-40669,WR,Tyler,Tyler Boyd,Boyd,11.55999974,5,7,12500,CIN@CLE,CIN,CLE,,,
x,82579-31001:Amari Cooper,82579-31001,WR,Amari,Amari Cooper,Cooper,11.88571385,5,7,11000,CIN@CLE,CLE,CIN,,,
x,82579-45229:Kareem Hunt,82579-45229,RB,Kareem,Kareem Hunt,Hunt,9.5,3,7,10000,CIN@CLE,CLE,CIN,,,
x,82579-12528:Cincinnati Bengals,82579-12528,D,Cincinnati,Cincinnati Bengals,Bengals,5.571428571,2,7,9500,CIN@CLE,CIN,CLE,,,
x,82579-86092:Evan McPherson,82579-86092,K,Evan,Evan McPherson,McPherson,8.714285714,4,7,9000,CIN@CLE,CIN,CLE,,,
x,82579-12529:Cleveland Browns,82579-12529,D,Cleveland,Cleveland Browns,Browns,3.857142857,2,7,9000,CIN@CLE,CLE,CIN,,,
x,82579-102901:Cade York,82579-102901,K,Cade,Cade York,York,8.714285714,4,7,8500,CIN@CLE,CLE,CIN,,,
x,82579-64031:Hayden Hurst,82579-64031,TE,Hayden,Hayden Hurst,Hurst,7.014285496,3,7,8000,CIN@CLE,CIN,CLE,,,
x,82579-91426:Donovan Peoples-Jones,82579-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,6.399999891,3,7,8000,CIN@CLE,CLE,CIN,,,
x,82579-70601:Harrison Bryant,82579-70601,TE,Harrison,Harrison Bryant,Bryant,3.066666603,3,6,7000,CIN@CLE,CLE,CIN,,,
x,82579-114180:David Bell,82579-114180,WR,David,David Bell,Bell,1.800000032,1,6,6500,CIN@CLE,CLE,CIN,,,
x,82579-89997:Michael Woods II,82579-89997,WR,Michael,Michael Woods II,Woods II,2,0,1,6000,CIN@CLE,CLE,CIN,,,
x,82579-65182:Mitchell Wilcox,82579-65182,TE,Mitchell,Mitchell Wilcox,Wilcox,1.725000024,1,4,6000,CIN@CLE,CIN,CLE,,,
x,82579-70282:Demetric Felton,82579-70282,WR,Demetric,Demetric Felton,Felton,0.200000003,0,2,5500,CIN@CLE,CLE,CIN,,,
,82579-69516:Miller Forristall,82579-69516,TE,Miller,Miller Forristall,Forristall,0,0,1,5500,CIN@CLE,CLE,CIN,,,
x,82579-55694:Mike Thomas,82579-55694,WR,Mike,Mike Thomas,Thomas,3.400000095,0,2,5500,CIN@CLE,CIN,CLE,,,
x,82579-87662:Anthony Schwartz,82579-87662,WR,Anthony,Anthony Schwartz,Schwartz,1.466666698,0,3,5500,CIN@CLE,CLE,CIN,,,
,82579-73089:Devin Asiasi,82579-73089,TE,Devin,Devin Asiasi,Asiasi,0,,2,5000,CIN@CLE,CIN,CLE,,,
,82579-70531:Jack Sorenson,82579-70531,WR,Jack,Jack Sorenson,Sorenson,,,,5000,CIN@CLE,CIN,CLE,,,
,82579-64905:Trenton Irwin,82579-64905,WR,Trenton,Trenton Irwin,Irwin,1.100000024,0,4,5000,CIN@CLE,CIN,CLE,,,
,82579-71048:Thaddeus Moss,82579-71048,TE,Thaddeus,Thaddeus Moss,Moss,,,,5000,CIN@CLE,CIN,CLE,,,
,82579-170252:Felix Harper,82579-170252,QB,Felix,Felix Harper,Harper,,,,5000,CIN@CLE,CLE,CIN,,,
,82579-94993:Pooka Williams Jr.,82579-94993,RB,Pooka,Pooka Williams Jr.,Williams Jr.,0,,1,5000,CIN@CLE,CIN,CLE,,,
x,82579-43416:Trent Taylor,82579-43416,WR,Trent,Trent Taylor,Taylor,-0.333333333,0,6,5000,CIN@CLE,CIN,CLE,,,
