keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
x,84551-63484:Kyler Murray,84551-63484,QB,Kyler,Kyler Murray,Murray,19.07,10,17000,NE@ARI,ARI,NE,,,
x,84551-16606:DeAndre Hopkins,84551-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.5,6,14500,NE@ARI,ARI,NE,,,
x,84551-111540:Rhamondre Stevenson,84551-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,12.8,12,14000,NE@ARI,NE,ARI,,,
x,84551-90584:Mac Jones,84551-90584,QB,Mac,Mac Jones,Jones,14.35,9,13500,NE@ARI,NE,ARI,,,
x,84551-86687:Marquise Brown,84551-86687,WR,Marquise,Marquise Brown,Brown,10.8,7,13000,NE@ARI,ARI,NE,,,
x,84551-40687:James Conner,84551-40687,RB,James,James Conner,Conner,14.7,9,12500,NE@ARI,ARI,NE,,,
,84551-63634:Jakobi Meyers,84551-63634,WR,Jakobi,Jakobi Meyers,Meyers,10.11999969,10,12000,NE@ARI,NE,ARI,O,Concussion,
,84551-64576:Damien Harris,84551-64576,RB,Damien,Damien Harris,Harris,7.81111145,9,11000,NE@ARI,NE,ARI,D,Thigh,
,84551-93408:Rondale Moore,84551-93408,WR,Rondale,Rondale Moore,Moore,8.425000191,8,10000,NE@ARI,ARI,NE,O,Groin,
x,84551-12541:New England Patriots,84551-12541,D,New England,New England Patriots,Patriots,10.5,12,9500,NE@ARI,NE,ARI,,,
x,84551-6642:Nick Folk,84551-6642,K,Nick,Nick Folk,Folk,9.25,12,9000,NE@ARI,NE,ARI,,,
x,84551-12546:Arizona Cardinals,84551-12546,D,Arizona,Arizona Cardinals,Cardinals,6.666666667,12,8500,NE@ARI,ARI,NE,,,
x,84551-29683:Nelson Agholor,84551-29683,WR,Nelson,Nelson Agholor,Agholor,5.320000076,10,8000,NE@ARI,NE,ARI,,,
x,84551-6782:Matt Prater,84551-6782,K,Matt,Matt Prater,Prater,6,8,8000,NE@ARI,ARI,NE,,,
x,84551-40845:Hunter Henry,84551-40845,TE,Hunter,Hunter Henry,Henry,4.84166654,12,7500,NE@ARI,NE,ARI,,,
x,84551-33260:DeVante Parker,84551-33260,WR,DeVante,DeVante Parker,Parker,6.109999847,10,7500,NE@ARI,NE,ARI,,,
x,84551-92545:Keaontay Ingram,84551-92545,RB,Keaontay,Keaontay Ingram,Ingram,2.416666667,6,7000,NE@ARI,ARI,NE,,,
x,84551-69558:Greg Dortch,84551-69558,WR,Greg,Greg Dortch,Dortch,5.436363567,11,7000,NE@ARI,ARI,NE,,,
x,84551-89220:Tyquan Thornton,84551-89220,WR,Tyquan,Tyquan Thornton,Thornton,4.471428462,7,6500,NE@ARI,NE,ARI,,,
x,84551-14187:A.J. Green,84551-14187,WR,A.J.,A.J. Green,Green,3.233333376,9,6500,NE@ARI,ARI,NE,,,
x,84551-26251:Robbie Anderson,84551-26251,WR,Robbie,Robbie Anderson,Anderson,3.711111281,9,6000,NE@ARI,ARI,NE,,,
x,84551-48116:Jonnu Smith,84551-48116,TE,Jonnu,Jonnu Smith,Smith,3.5,9,6000,NE@ARI,NE,ARI,,,
x,84551-80289:Kendrick Bourne,84551-80289,WR,Kendrick,Kendrick Bourne,Bourne,2.99090923,11,5500,NE@ARI,NE,ARI,,,
x,84551-91750:Trey McBride,84551-91750,TE,Trey,Trey McBride,McBride,1.820000076,5,5500,NE@ARI,ARI,NE,,,
,84551-56715:Tristan Vizcaino,84551-56715,K,Tristan,Tristan Vizcaino,Vizcaino,10,1,5000,NE@ARI,NE,ARI,,,
,84551-111756:JaVonta Payton,84551-111756,WR,JaVonta,JaVonta Payton,Payton,,,5000,NE@ARI,ARI,NE,,,
x,84551-141201:Raleigh Webb,84551-141201,WR,Raleigh,Raleigh Webb,Webb,,,5000,NE@ARI,NE,ARI,,,
,84551-55323:Jaylen Samuels,84551-55323,RB,Jaylen,Jaylen Samuels,Samuels,1.266666651,3,5000,NE@ARI,ARI,NE,,,
,84551-32158:Garrett Gilbert,84551-32158,QB,Garrett,Garrett Gilbert,Gilbert,7.760000229,1,5000,NE@ARI,NE,ARI,,,
,84551-52897:Darrel Williams,84551-52897,RB,Darrel,Darrel Williams,Williams,3.820000076,5,5000,NE@ARI,ARI,NE,IR,Hip,
,84551-29734:Ty Montgomery,84551-29734,RB,Ty,Ty Montgomery,Montgomery,8.800000191,1,5000,NE@ARI,NE,ARI,IR,Shoulder,
,84551-60838:Andre Baccellia,84551-60838,WR,Andre,Andre Baccellia,Baccellia,1.899999936,3,5000,NE@ARI,ARI,NE,,,
,84551-47788:Deon Yelder,84551-47788,TE,Deon,Deon Yelder,Yelder,0.5,1,5000,NE@ARI,ARI,NE,,,
,84551-63791:Rodrigo Blankenship,84551-63791,K,Rodrigo,Rodrigo Blankenship,Blankenship,9.5,2,5000,NE@ARI,ARI,NE,Q,Undisclosed,
x,84551-7856:Matthew Slater,84551-7856,WR,Matthew,Matthew Slater,Slater,,,5000,NE@ARI,NE,ARI,,,
,84551-160306:Pierre Strong Jr.,84551-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,0.25,2,5000,NE@ARI,NE,ARI,,,
,84551-60849:Blake Lynch,84551-60849,WR,Blake,Blake Lynch,Lynch,,,5000,NE@ARI,ARI,NE,,,
